id,lang_z,stem_z,hum_z
1,6.35,3.93,2.86
2,3.61,1.82,3.32
3,5.67,6.31,3.34
4,4.19,4.3,4.8
5,1.83,3.19,4.35
6,1.7,1.4,6.52
7,6.84,2.17,6.13
8,3.61,2.45,4.04
9,5.0,5.29,1.41
10,1.74,2.34,4.4
11,4.42,4.16,2.7
12,3.96,5.19,4.01
13,6.95,4.39,3.12
14,1.43,2.07,5.21
15,6.63,3.35,6.47
16,5.89,5.2,4.75
17,1.5,2.85,4.64
18,1.76,5.8,2.82
19,6.72,4.62,3.44
20,2.41,3.86,2.29
21,3.78,3.36,2.07
22,5.4,2.26,3.88
23,6.37,3.12,4.58
24,1.09,1.55,4.53
25,5.95,2.08,1.05
26,3.39,2.9,4.86
27,6.92,1.4,4.62
28,3.26,4.37,2.6
29,2.69,5.2,1.43
30,3.73,2.41,3.96
31,4.82,5.72,3.74
32,6.65,1.23,6.08
33,3.02,1.91,6.69
34,2.2,3.6,2.04
35,2.91,1.09,6.67
36,6.44,3.93,1.88
37,1.49,5.69,1.02
38,2.29,4.07,4.21
39,6.45,4.16,4.25
40,6.54,4.7,5.42
41,3.79,3.67,3.01
42,1.46,5.8,2.87
43,3.19,3.79,6.75
44,6.09,3.91,1.57
45,3.28,6.35,2.66
46,6.38,6.69,3.95
47,3.6,5.66,1.1
48,2.06,3.16,2.66
49,1.75,3.43,1.28
50,3.56,6.85,5.14
51,2.01,2.21,2.87
52,5.34,2.33,5.17
53,6.02,2.1,6.77
54,5.14,3.18,6.31
55,1.59,5.36,3.32
56,4.16,6.6,3.54
57,6.82,5.47,2.1
58,3.5,1.77,1.82
59,4.96,6.17,3.95
60,1.55,4.0,2.42
61,5.58,5.44,5.97
62,2.28,6.74,1.46
63,3.57,6.96,5.26
64,2.75,6.59,4.8
65,3.99,3.07,1.88
66,3.03,2.0,3.48
67,6.73,2.01,2.78
68,2.16,6.36,2.86
69,2.64,2.29,2.8
70,3.83,2.26,3.58
71,6.29,4.36,2.37
72,5.58,3.82,2.33
73,6.92,2.5,6.92
74,3.55,5.14,1.01
75,1.23,4.21,6.71
76,4.37,4.81,5.92
77,6.47,6.63,1.04
78,4.32,5.22,3.3
79,6.33,1.95,4.93
80,4.72,6.68,6.08
81,4.03,4.67,6.35
82,1.43,3.25,6.46
83,5.03,1.68,5.04
84,5.54,3.56,5.39
85,5.35,1.58,4.4
86,1.74,1.86,5.27
87,6.7,1.01,3.99
88,1.2,5.67,5.82
89,5.74,4.66,3.47
90,1.47,4.14,4.67
91,3.13,5.89,6.7
92,3.47,5.32,6.34
93,1.24,5.52,4.88
94,6.21,1.63,3.14
95,1.87,2.11,6.08
96,2.93,5.69,4.67
97,2.64,3.56,5.03
98,3.03,5.18,2.06
99,3.67,2.09,6.47
100,1.02,3.88,5.21
